"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"EN.CO2.ETOT.ZS","Émissions de CO2 attribuables à la production d’électricité et de chaleur (% de la combustion totale de carburants)","Les émissions de CO2 attribuables à la production d’électricité et de chaleur correspondent à la somme des trois catégories d’émissions de CO2 de l’AIE : 1) Les producteurs dont l’électricité et la chaleur sont l’activité principale, qui correspondent à la somme des émissions de la production d’électricité comme activité principale, de la production combinée de chaleur et d’électricité et des centrales productrices de chaleur. Les producteurs dont l’électricité et la chaleur sont l’activité principale (autrefois appelés services aux collectivités) sont les entreprises dont l’activité principale est l’approvisionnement du public. Elles sont de propriété publique ou privée. Correspond à Source GIEC/Catégorie de puits 1 A 1 a. S’agissant du fichier sur les émissions de CO2 attribuables à la combustion de carburant (résumé), les émissions attribuables à l’utilisation sur site de combustible par les centrales (EPOWERPLT) sont également incluses. 2) Les auto-producteurs non affectés, qui correspondent aux émissions attribuables à la production d’électricité et/ou de chaleur par les auto-producteurs. Les auto-producteurs sont les entreprises qui produisent de l’électricité et/ou de la chaleur, en partie ou en totalité pour leur usage propre, dans le cadre d’une activité qui soutient leur activité principale. Elles sont de propriété publique ou privée. D’après les lignes directrices de 1996 du GIEC, ces émissions se répartissent normalement entre l’industrie, le transport et d’« autres » secteurs. 3) Les autres industries énergétiques correspondent aux émissions attribuables au carburant brûlé dans les raffineries de pétrole pour fabriquer des combustibles solides, aux industries d’extraction de charbon, de pétrole et de gaz et aux autres industries productrices d’énergie. Correspond à Source GIEC/Catégories de puits1 A 1 b et 1 A 1 c. D’après les lignes directrices de 1996 du GIEC, les émissions attribuables au coke qui alimente les hauts fourneaux sont comptabilisées ici ou dans la source Processus industriels / catégorie de puits. À partir des calculs sectoriels détaillés, il est possible de distinguer certains processus non énergétiques. S’agissant de la réduction du fer dans un haut fourneau par la combustion de coke, l’objectif principal de l’oxydation du coke est de produire de la fonte. Ici, les émissions peuvent être considérées comme un processus industriel. Il faut éviter de compter deux fois les émissions dans les Processus énergétiques et industriels. D’après les estimations de l’AIE, ces émissions ont été reprises dans cette catégorie.","Statistiques AIE © OCDE/AIE, http://www.iea.org/stats/index.asp), fichiers électroniques de l’Agence Internationale de l’Énergie sur les émissions de CO2 attribuables à la combustion de carburants.",
"EN.CO2.BLDG.ZS","Émissions de CO2 attribuables aux bâtiments résidentiels et aux services commerciaux et publics (% de la combustion totale de carburants)","Les émissions de CO2 attribuables à la construction résidentielle et aux services commerciaux et publics contiennent l’ensemble des émissions attribuables à la combustion de carburants dans les foyers. Correspond à la Source GIEC/Catégorie de puits 1 A 4 b. Les services commerciaux et publics incluent les émissions attribuables à l’ensemble des autres activités des Divisions CITI 41, 50-52, 55, 63-67, 70-75, 80, 85, 90-93 et 99.","Statistiques AIE © OCDE/AIE, http://www.iea.org/stats/index.asp), fichiers électroniques de l’Agence Internationale de l’Énergie sur les émissions de CO2 attribuables à la combustion de carburants.",
"EN.CLC.MDAT.ZS","Sécheresses, inondations, températures extrêmes (en % de la population, moyenne de 1990 à 2009)","Sécheresses, inondations et températures extrêmes correspondent au pourcentage moyen annuel de la population affectée par les catastrophes naturelles classifiées comme sécheresses, inondations et évènements climatiques extrêmes.  Une sécheresse est une période prolongée caractérisée par un manque d’approvisionnement en eau d’une région, en conséquence de précipitations constamment inférieures à la moyenne. Une sécheresse peut entraîner des pertes pour l’agriculture, affecter la navigation fluviale et les centrales hydroélectriques, et entraîner un manque d’eau potable et des famines. Une inondation est une forte hausse du niveau de l’eau d’une rivière, d’un lac, d’un réservoir ou d’une région côtière. Les évènements climatiques extrêmes sont des vagues de froid ou de chaleur. Une vague de froid peut consister en une période prolongée de froid excessif et l’invasion soudaine d’air très froid sur un grand périmètre. Conjugué au gel, elle peut entraîner des dommages pour l’agriculture, les infrastructures et les biens.  Une vague de chaleur est une période prolongée de chaleur excessive, parfois conjuguée à un climat plus humide que la normale dans une région. La population affectée correspond au nombre de personnes blessées, se retrouvant sans abri ou nécessitant une assistance immédiate pendant une période d’urgence consécutive à une catastrophe naturelle ; elle peut également correspondre à des populations déplacées ou évacuées. Le pourcentage moyen de la population affectée se calcule en divisant la somme de la population totale affectée durant la période par la somme de la population annuelle durant la période étudiée.","EM-DAT : Base de données internationale OFDA/CRED sur les catastrophes naturelles : www.emdat.be, Université Catholique de Louvain, Bruxelles (Belgique), Banque mondiale.",
"EN.CLC.GHGR.MT.CE","Émissions/éliminations nettes de GES attribuables au changement d'affectation des terres et à la foresterie (Mt d’équivalents CO2)","Les émissions/éliminations nettes de GES attribuables au changement d'affectation des terres et à la foresterie font référence aux changements des niveaux atmosphériques de l’ensemble des gaz à effet de serre attribuables aux activités de changement d'affectation des terres et de foresterie, notamment aux 1) émissions et éliminations du CO2 attribuable à la hausse ou à la baisse des stocks de biomasse due à la gestion et à l’exploitation forestières, à la collecte de bois de chauffage, etc. ; 2) à la conversion des forêts et des prairies naturelles existantes en autres utilisations des terres ; 3) à l’élimination de CO2 imputable à l’abandon des terres autrefois exploitées (par ex. terres cultivées et pâturages) ; et 4) aux émissions et éliminations du CO2 des sols associées au changement et à la gestion de l'affectation des terres. S’agissant des pays de l’Annexe I de la CCNUCC, ces données sont tirées des inventaires annuels des émissions de gaz à effet de serre soumis à la CCNUCC par chaque pays ; s’agissant des pays qui ne relèvent pas de l’Annexe I, les données sont tirées des Communications nationales les plus récemment publiées, si disponible.  En raison des différences entre les années de référence et les méthodologies, ces données ne sont généralement pas considérées comme comparables entre les pays. Les chiffres fournis sont en millions de tonnes.","Convention-cadre des Nations Unies sur les changements climatiques.",
"EN.CLC.DRSK.XQ","Note sur les progrès de réduction des risques de catastrophes (échelle de 1 à 5, 5 étant la meilleure note)","La note sur les progrès de réduction des risques de catastrophes est une moyenne des notes obtenues par auto-évaluation, variant de 1 à 5, fournies par les pays au titre de la Priorité 1 des États d’avancement nationaux du Cadre de Hyogo.  Le Cadre de Hyogo est un schéma directeur mondial portant sur les efforts de réduction des risques de catastrophes, adopté par 168 pays en 2005. Les évaluations de la « Priorité 1 » incluent quatre indicateurs qui témoignent du degré de priorité accordé par les pays à la réduction des risques de catastrophes et au renforcement des institutions concernées.","(UNISDR, États d’avancement 2009-2011, http://www.preventionweb.net/english/hyogo).",
"EN.BIR.THRD.NO","Espèces d’oiseaux, menacées","Les oiseaux sont listés pour les pays inclus dans leur aire d'hivernage ou de reproduction. Les espèces menacées font référence au nombre d'espèces classées par l'Union Internationale pour la Conservation de la Nature (IUCN) comme étant en danger, vulnérables, rares, indéterminées, hors danger et pas suffisamment connues.","Programme des Nations Unies pour l'environnement et Centre mondial de surveillance de la conservation, et la liste rouge des espèces menacées de l’Union Internationale pour la Conservation de la Nature (IUCN).",
"EN.ATM.SF6G.KT.CE","Émissions de gaz SF6 (milliers de tonnes métriques d'équivalent CO2)","L'hexafluorure de soufre sert principalement à isoler les équipements électriques à haute tension.","Commission européenne, Centre commun de recherche (CCR)/Agence néerlandaise pour l’évaluation environnementale (PBL). Base de données EDGAR (Emission Database for Global Atmospheric Research) : http://edgar.jrc.ec.europa.eu/.",
"EN.ATM.PM25.MC.ZS","Pollution atmosphérique aux particules fines (PM2,5), population exposée à des niveaux supérieurs à la valeur de référence de l’OMS (% du total)","Percent of population exposed to ambient concentrations of PM2.5 that exceed the WHO guideline value is defined as the portion of a country’s population living in places where mean annual concentrations of PM2.5 are greater than 10 micrograms per cubic meter, the guideline value recommended by the World Health Organization as the lower end of the range of concentrations over which adverse health effects due to PM2.5 exposure have been observed.","Brauer, M. et al. 2016, pour l’étude Global Burden of Disease de 2015.",
"EN.ATM.PM25.MC.M3","Pollution atmosphérique aux particules fines (PM2,5), exposition annuelle moyenne (microgrammes par mètre cube)","Population-weighted exposure to ambient PM2.5 pollution is defined as the average level of exposure of a nation's population to concentrations of suspended particles measuring less than 2.5 microns in aerodynamic diameter, which are capable of penetrating deep into the respiratory tract and causing severe health damage. Exposure is calculated by weighting mean annual concentrations of PM2.5 by population in both urban and rural areas.","Brauer, M. et al. 2016, pour l’étude Global Burden of Disease de 2015.",
"EN.ATM.PFCG.KT.CE","Émissions de gaz PFC (milliers de tonnes métriques d'équivalent CO2)","Les perfluorocarbones, utilisés pour remplacer les chlorofluorocarbones dans la fabrication des semiconducteurs, sont un sous-produit de la fusion de l'aluminium et de l'enrichissement de l'uranium.","Commission européenne, Centre commun de recherche (CCR)/Agence néerlandaise pour l’évaluation environnementale (PBL). Base de données EDGAR (Emission Database for Global Atmospheric Research) : http://edgar.jrc.ec.europa.eu/.",
"EN.ATM.NOXE.ZG","Émissions de protoxyde d’azote (variation depuis 1990, %)","Nitrous oxide emissions are emissions from agricultural biomass burning, industrial activities, and livestock management. Each year of data shows the percentage change to that year from 1990.","Estimations du personnel de la Banque mondiale basées sur la source originale: Commission européenne, Centre commun de recherche (JRC) / Agence néerlandaise pour l'évaluation environnementale (PBL). Base de données des émissions pour la recherche atmosphérique mondiale (EDGAR): http://edgar.jrc.ec.europa.eu/.",
"EN.ATM.NOXE.KT.CE","Émissions d’oxyde nitreux (milliers de tonnes métriques d’équivalent CO2)","Les émissions d'oxyde nitreux sont les émissions attribuables au brûlage de la biomasse agricole, aux activités industrielles et à la gestion des animaux d'élevage.","Commission européenne, Centre commun de recherche (CCR)/Agence néerlandaise pour l’évaluation environnementale (PBL). Base de données EDGAR (Emission Database for Global Atmospheric Research) : http://edgar.jrc.ec.europa.eu/.",
"EN.ATM.NOXE.EG.ZS","Émissions de protoxyde d’azote dans le secteur énergétique (variation depuis 1990, %)","Nitrous oxide emissions from energy processes are emissions produced by the combustion of fossil fuels and biofuels.","Estimations du personnel de la Banque mondiale basées sur la source originale: Commission européenne, Centre commun de recherche (JRC) / Agence néerlandaise pour l'évaluation environnementale (PBL). Base de données des émissions pour la recherche atmosphérique mondiale (EDGAR): http://edgar.jrc.ec.europa.eu/.",
"EN.ATM.NOXE.EG.KT.CE","Émissions d'oxyde nitreux dans le secteur de l'énergie (milliers de tonnes métriques d'équivalent CO2)"," Les émissions d'oxyde nitreux dues aux processus énergétiques correspondent aux émissions produites par la combustion des carburants fossiles et des biocarburants.","Commission européenne, Centre commun de recherche (CCR)/Agence néerlandaise pour l’évaluation environnementale (PBL). Base de données EDGAR (Emission Database for Global Atmospheric Research) : http://edgar.jrc.ec.europa.eu/.",
"EN.ATM.NOXE.AG.ZS","Émissions d’oxyde nitreux dues à l’agriculture (% du total)","Les émissions agricoles d'oxyde nitreux sont les émissions attribuables à l'utilisation d'engrais (synthétiques et fumier), à la gestion des déchets d'originale animale, au brûlage de déchets agricoles (sur site et non destiné à produire de l'énergie) et au brûlage de savane.","Estimations du personnel de la Banque mondiale basées sur : Commission européenne, Centre commun de recherche (CCR)/Agence néerlandaise pour l’évaluation environnementale (PBL). Base de données EDGAR (Emission Database for Global Atmospheric Research) : http://edgar.jrc.ec.europa.eu/.",
"EN.ATM.NOXE.AG.KT.CE","Émissions d'oxyde nitreux agricoles (milliers de tonnes métriques d'équivalent CO2)","Les émissions agricoles d'oxyde nitreux sont les émissions attribuables à l'utilisation d'engrais (synthétiques et fumier), à la gestion des déchets d'originale animale, au brûlage de déchets agricoles (sur site et non destiné à produire de l'énergie) et au brûlage de savane.","Commission européenne, Centre commun de recherche (CCR)/Agence néerlandaise pour l’évaluation environnementale (PBL). Base de données EDGAR (Emission Database for Global Atmospheric Research) : http://edgar.jrc.ec.europa.eu/.",
"EN.ATM.METH.ZG","Émissions de méthane (variation depuis 1990, %)","Methane emissions are those stemming from human activities such as agriculture and from industrial methane production. Each year of data shows the percentage change to that year from 1990.","Estimations du personnel de la Banque mondiale basées sur la source originale: Commission européenne, Centre commun de recherche (JRC) / Agence néerlandaise pour l'évaluation environnementale (PBL). Base de données des émissions pour la recherche atmosphérique mondiale (EDGAR): http://edgar.jrc.ec.europa.eu/.",
"EN.ATM.METH.KT.CE","Émissions de méthane (kt d’équivalent CO2)","Les émissions de méthane sont celles qui découlent des activités de nature humaine telles que l'agriculture et la production industrielle de méthane.","Commission européenne, Centre commun de recherche (CCR)/Agence néerlandaise pour l’évaluation environnementale (PBL). Base de données EDGAR (Emission Database for Global Atmospheric Research) : http://edgar.jrc.ec.europa.eu/.",
"EN.ATM.METH.EG.ZS","Émissions de méthane liées à l’énergie (% du total)","Les émissions de méthane des processus énergétiques sont des émissions dues à la production, à la gestion, à la transmission et à la combustion des carburants fossiles et des biocarburants.","Estimations du personnel de la Banque mondiale basées sur : Commission européenne, Centre commun de recherche (CCR)/Agence néerlandaise pour l’évaluation environnementale (PBL). Base de données EDGAR (Emission Database for Global Atmospheric Research) : http://edgar.jrc.ec.europa.eu/.",
"EN.ATM.METH.EG.KT.CE","Émissions de méthane dans le secteur de l'énergie (milliers de tonnes métriques d'équivalent CO2)","Les émissions de méthane des processus énergétiques sont des émissions dues à la production, à la gestion, à la transmission et à la combustion des carburants fossiles et des biocarburants.","Commission européenne, Centre commun de recherche (CCR)/Agence néerlandaise pour l’évaluation environnementale (PBL). Base de données EDGAR (Emission Database for Global Atmospheric Research) : http://edgar.jrc.ec.europa.eu/.",
"EN.ATM.METH.AG.ZS","Émissions de méthane dues à l’agriculture (% du total)","Les émissions agricoles de méthane attribuables sont des émissions attribuables aux animaux, aux déchets d'origine animale, à la production de riz, au brûlage des déchets agricoles (sur site et non destiné à produire de l'énergie) et au brûlage de la savane.","Estimations du personnel de la Banque mondiale basées sur : Commission européenne, Centre commun de recherche (CCR)/Agence néerlandaise pour l’évaluation environnementale (PBL). Base de données EDGAR (Emission Database for Global Atmospheric Research) : http://edgar.jrc.ec.europa.eu/.",
"EN.ATM.METH.AG.KT.CE","Émissions de méthane agricoles (milliers de tonnes métriques d'équivalent CO2)","Les émissions agricoles de méthane attribuables sont des émissions attribuables aux animaux, aux déchets d'origine animale, à la production de riz, au brûlage des déchets agricoles (sur site et non destiné à produire de l'énergie) et au brûlage de la savane.","Commission européenne, Centre commun de recherche (CCR)/Agence néerlandaise pour l’évaluation environnementale (PBL). Base de données EDGAR (Emission Database for Global Atmospheric Research) : http://edgar.jrc.ec.europa.eu/.",
"EN.ATM.HFCG.KT.CE","Émissions de gaz HFC (milliers de tonnes métriques d'équivalent CO2)","Les hydrofluorocarbones, utilisés pour remplacer les chlorofluorocarbones, servent principalement dans l'industrie de la réfrigération et celle des semiconducteurs.","Commission européenne, Centre commun de recherche (CCR)/Agence néerlandaise pour l’évaluation environnementale (PBL). Base de données EDGAR (Emission Database for Global Atmospheric Research) : http://edgar.jrc.ec.europa.eu/.",
"EN.ATM.GHGT.ZG","Émissions totales de GES (variation depuis 1990, %)","Total greenhouse gas emissions are composed of CO2 totals excluding short-cycle biomass burning (such as agricultural waste burning and Savannah burning) but including other biomass burning (such as forest fires, post-burn decay, peat fires and decay of drained peatlands), all anthropogenic CH4 sources, N2O sources and F-gases (HFCs, PFCs and SF6). Each year of data shows the percentage change to that year from 1990.","Estimations du personnel de la Banque mondiale basées sur la source originale: Commission européenne, Centre commun de recherche (JRC) / Agence néerlandaise pour l'évaluation environnementale (PBL). Base de données des émissions pour la recherche atmosphérique mondiale (EDGAR): http://edgar.jrc.ec.europa.eu/.",
"EN.ATM.GHGT.KT.CE","Émissions totales de GES (kt d’équivalent CO2)","Total greenhouse gas emissions in kt of CO2 equivalent are composed of CO2 totals excluding short-cycle biomass burning (such as agricultural waste burning and Savannah burning) but including other biomass burning (such as forest fires, post-burn decay, peat fires and decay of drained peatlands), all anthropogenic CH4 sources, N2O sources and F-gases (HFCs, PFCs and SF6).","Commission européenne, Centre commun de recherche (JRC) / Agence néerlandaise d'évaluation environnementale (PBL). Base de données sur les émissions pour la recherche atmosphérique mondiale (EDGAR), EDGARv4.2 FT2012: http://edgar.jrc.ec.europa.eu/.",
"EN.ATM.GHGO.ZG","Autres émissions de GES (variation depuis 1990, %)","Other greenhouse gas emissions are by-product emissions of hydrofluorocarbons, perfluorocarbons, and sulfur hexafluoride. Each year of data shows the percentage change to that year from 1990.","World Bank staff estimates from original source: European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/.",
"EN.ATM.GHGO.KT.CE","Autres émissions de gaz à effet de serre, HFC, PFC et SF6 (milliers de tonnes métriques d’équivalent CO2)","D'autres émissions de gaz à effet de serre sont des émissions dérivées de l'hydrurofluorocarbone, du tétrafluorométhane et de l'hexafluorure de soufre.","Estimations du personnel de la Banque mondiale basées sur : Commission européenne, Centre commun de recherche (CCR)/Agence néerlandaise pour l’évaluation environnementale (PBL). Base de données EDGAR (Emission Database for Global Atmospheric Research) : http://edgar.jrc.ec.europa.eu/.",
"EN.ATM.CO2E.SF.ZS","Émissions de CO2 attribuables à la consommation de combustibles solides (% du total)","Les émissions de dioxyde de carbone attribuables à la consommation de combustibles solides désignent principalement les émissions dues à l'utilisation du charbon comme source d'énergie.","Centre d'analyse des informations relatives au dioxyde de carbone, division des sciences de l'environnement, Oak Ridge National Laboratory, Tennessee, États-Unis.",
"EN.ATM.CO2E.SF.KT","Émissions de CO2 attribuables à la consommation de combustibles solides (kt)  ","Les émissions de dioxyde de carbone attribuables à la consommation de combustibles solides désignent principalement les émissions dues à l'utilisation du charbon comme source d'énergie.","Centre d'analyse des informations relatives au dioxyde de carbone, division des sciences de l'environnement, Oak Ridge National Laboratory, Tennessee, États-Unis.",
"EN.ATM.CO2E.PP.GD.KD","Émissions de CO2 (kg par $ PPA de 2011 de PIB)","Les émissions de dioxyde de carbone sont celles qui émanent lors de la combustion de combustibles fossiles et de la fabrication de ciment. Elles comprennent les émissions de dioxyde de carbone produites lors de la consommation de combustibles solides, liquides et gazeux et de torchage.","Centre d'analyse des informations relatives au dioxyde de carbone, division des sciences de l'environnement, Oak Ridge National Laboratory, Tennessee, États-Unis.",
"EN.ATM.CO2E.PP.GD","Émissions de CO2 (kg par $ PPA de PIB)","Les émissions de dioxyde de carbone sont celles qui émanent lors de la combustion de combustibles fossiles et de la fabrication de ciment. Elles comprennent les émissions de dioxyde de carbone produites lors de la consommation de combustibles solides, liquides et gazeux et de torchage.","Centre d'analyse des informations relatives au dioxyde de carbone, division des sciences de l'environnement, Oak Ridge National Laboratory, Tennessee, États-Unis.",
"EN.ATM.CO2E.PC","Émissions de CO2 (tonnes métriques par habitant)","Les émissions de dioxyde de carbone sont celles qui émanent lors de la combustion de combustibles fossiles et de la fabrication de ciment. Elles comprennent les émissions de dioxyde de carbone produites lors de la consommation de combustibles solides, liquides et gazeux et de torchage.","Centre d'analyse des informations relatives au dioxyde de carbone, division des sciences de l'environnement, Oak Ridge National Laboratory, Tennessee, États-Unis.",
"EN.ATM.CO2E.LF.ZS","Émissions de CO2 attribuables à la consommation de combustibles liquides (% du total)  ","Les émissions de dioxyde de carbone attribuables à la consommation de combustibles liquides désignent principalement les émissions dues à l’utilisation des carburants dérivés du pétrole comme source d’énergie.","Centre d'analyse des informations relatives au dioxyde de carbone, division des sciences de l'environnement, Oak Ridge National Laboratory, Tennessee, États-Unis.",
"EN.ATM.CO2E.LF.KT","Émissions de CO2 attribuables à la consommation de combustibles liquides (kt)  ","Les émissions de dioxyde de carbone attribuables à la consommation de combustibles liquides désignent principalement les émissions dues à l’utilisation des carburants dérivés du pétrole comme source d’énergie.","Centre d'analyse des informations relatives au dioxyde de carbone, division des sciences de l'environnement, Oak Ridge National Laboratory, Tennessee, États-Unis.",
"EN.ATM.CO2E.KT","Émissions de CO2 (kt)","Les émissions de dioxyde de carbone sont celles qui émanent lors de la combustion de combustibles fossiles et de la fabrication de ciment. Elles comprennent les émissions de dioxyde de carbone produites lors de la consommation de combustibles solides, liquides et gazeux et de torchage.","Centre d'analyse des informations relatives au dioxyde de carbone, division des sciences de l'environnement, Oak Ridge National Laboratory, Tennessee, États-Unis.",
"EN.ATM.CO2E.KD.GD","Émissions de CO2 (kg par $ US de 2010 de PIB)","Les émissions de dioxyde de carbone sont celles qui émanent lors de la combustion de combustibles fossiles et de la fabrication de ciment. Elles comprennent les émissions de dioxyde de carbone produites lors de la consommation de combustibles solides, liquides et gazeux et de torchage.","Centre d'analyse des informations relatives au dioxyde de carbone, division des sciences de l'environnement, Oak Ridge National Laboratory, Tennessee, États-Unis.",
"EN.ATM.CO2E.GF.ZS","Émissions de CO2 attribuables à la consommation de combustibles gazeux (% du total)  ","Les émissions de dioxyde de carbone attribuables à la consommation de combustibles liquides désignent principalement les émissions dues à l’utilisation du gaz naturel comme source d’énergie.","Centre d'analyse des informations relatives au dioxyde de carbone, division des sciences de l'environnement, Oak Ridge National Laboratory, Tennessee, États-Unis.",
"EN.ATM.CO2E.GF.KT","Émissions de CO2 attribuables à la consommation de combustibles gazeux (kt)  ","Les émissions de dioxyde de carbone attribuables à la consommation de combustibles liquides désignent principalement les émissions dues à l’utilisation du gaz naturel comme source d’énergie.","Centre d'analyse des informations relatives au dioxyde de carbone, division des sciences de l'environnement, Oak Ridge National Laboratory, Tennessee, États-Unis.",
"EN.ATM.CO2E.EG.ZS","Intensité en CO2 (kg par kg d’utilisation d’énergie en équivalent pétrole)","Les émissions de dioxyde de carbone attribuables à la consommation de combustibles solides désignent principalement les émissions dues à l'utilisation du charbon comme source d'énergie.","Centre d'analyse des informations relatives au dioxyde de carbone, division des sciences de l'environnement, Oak Ridge National Laboratory, Tennessee, États-Unis.",
"EG.FEC.RNEW.ZS","Consommation d’énergies renouvelables (% de la consommation totale d’énergie)","Renewable energy consumption is the share of renewables energy in total final energy consumption.","Banque mondiale, base de données Sustainable Energy for All (SE4ALL) dérivée du SE4ALL Global Tracking Framework (Banque mondiale, Agence internationale de l’énergie et Programme d’assistance à la gestion du secteur énergétique [ESMAP]).",
"EG.ELC.RNWX.ZS","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (% du total)","Electricity production from renewable sources, excluding hydroelectric, includes geothermal, solar, tides, wind, biomass, and biofuels..","Statistiques de l’AIE © OCDE/AIE 2014 (http://www.iea.org/stats/index.asp). Conditions d’utilisation : https://www.iea.org/t&c/termsandconditions/",
"EG.ELC.RNWX.KH","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","Electricity production from renewable sources, excluding hydroelectric, includes geothermal, solar, tides, wind, biomass, and biofuels..","Statistiques de l’AIE © OCDE/AIE 2014 (http://www.iea.org/stats/index.asp). Conditions d’utilisation : https://www.iea.org/t&c/termsandconditions/",
"EG.ELC.RNEW.ZS","Production d’électricité renouvelable (% de la production totale d’électricité)","Renewable electricity is the share of electrity generated by renewable power plants in total electricity generated by all types of plants.","Banque mondiale, base de données Sustainable Energy for All (SE4ALL) dérivée du SE4ALL Global Tracking Framework (Banque mondiale, Agence internationale de l’énergie et Programme d’assistance à la gestion du secteur énergétique [ESMAP]).",
"EG.ELC.FOSL.ZS","Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)","Les sources d'électricité font référence aux entrées utilisées pour générer le l'électricité. Le pétrole fait référence au pétrole brut et aux produits du pétrole. Le gaz désigne le gaz naturel à l'exclusion des liquides du gaz naturel. Le charbon désigne tous les charbons et houilles brunes de type primaire (notamment le charbon dur et le lignite) et les combustibles dérivés (notamment l'aggloméré de charbon, le coke pour four, le gaz de four à coke, le gaz de cokerie et le gaz de haut fourneau). La tourbe est également incluse dans cette catégorie.","Agence internationale de l'énergie (statistiques de l'AIE © OCDE/AIE, http://www.iea.org/stats/index.asp), statistiques et ressources en énergie des pays hors OCDE, statistiques de l'énergie des pays de l'OCDE, et ressources en énergie des pays de l'OCDE.",
"EG.ELC.ACCS.ZS","Accès à l’électricité (% de la population)","L’accès à l’électricité correspond au pourcentage de la population disposant d’un accès à l’électricité. Les données sur l’électrification sont obtenues auprès de l’industrie, d’enquêtes nationales et de sources internationales.","Banque mondiale, base de données Sustainable Energy for All (SE4ALL) dérivée du SE4ALL Global Tracking Framework (Banque mondiale, Agence internationale de l’énergie et Programme d’assistance à la gestion du secteur énergétique [ESMAP]).",
"EG.EGY.PRIM.PP.KD","Intensité énergétique (MJ/PIB en USD, PPA de 2011)","Access to electricity, rural is the percentage of rural population with access to electricity.","Banque mondiale, base de données Sustainable Energy for All (SE4ALL) dérivée du SE4ALL Global Tracking Framework (Banque mondiale, Agence internationale de l’énergie et Programme d’assistance à la gestion du secteur énergétique [ESMAP]).",
"EG.CFT.ACCS.ZS","Accès à des combustibles et techniques de cuisson propres (% de la population)","Access to clean fuels and technologies for cooking is the proportion of total population primarily using clean cooking fuels and technologies for cooking. Under WHO guidelines, kerosene is excluded from clean cooking fuels.","Banque mondiale, base de données Sustainable Energy for All (SE4ALL) dérivée de la base de données Global Household Energy de l’OMS.",
"AG.SRF.TOTL.K2","Superficie (kilomètres carrés)","La surface du territoire est la superficie totale d'un pays y compris les zones qui sont sous les masses d'eaux continentales et certaines voies navigables côtières.","fichiers électroniques et site Web de l’Organisation des Nations Unies pour l’alimentation et l’agriculture.",
"AG.LND.TOTL.UR.K2","Superficie des zones urbaines (km2)","Urban land area in square kilometers, based on a combination of population counts (persons), settlement points, and the presence of Nighttime Lights. Areas are defined as urban where contiguous lighted cells from the Nighttime Lights or approximated urban extents based on buffered settlement points for which the total population is greater than 5,000 persons.","Fonds monétaire international, Government Finance Statistics Yearbook.",
"AG.LND.TOTL.RU.K2","Superficie des zones rurales (km2)","Rural land area in square kilometers, derived from urban extent grids which distinguish urban and rural areas based on a combination of population counts (persons), settlement points, and the presence of Nighttime Lights. Areas are defined as urban where contiguous lighted cells from the Nighttime Lights or approximated urban extents based on buffered settlement points for which the total population is greater than 5,000 persons.","Fonds monétaire international, Government Finance Statistics Yearbook.",
"AG.LND.TOTL.K2","Territoire (km carrés)","Le territoire est la superficie totale d'un pays à l'exclusion des zones sous des masses d'eaux continentales, sur des plateformes continentales et les zones économiques exclusives. Dans la plupart des cas, la définition des masses d'eaux continentales comprend les principaux lacs et rivières.","fichiers électroniques et site Web de l’Organisation des Nations Unies pour l’alimentation et l’agriculture.",
"AG.LND.PRCP.MM","Hauteur moyenne des précipitations (mm par an)","La hauteur moyenne des précipitations est la moyenne à long terme de la hauteur (dans l’espace et le temps) des précipitations annuelles du pays. Les précipitations sont définies comme tout type d’eau qui tombe des nuages que ce soit sous forme liquide ou solide.","fichiers électroniques et site Web de l’Organisation des Nations Unies pour l’alimentation et l’agriculture.",
"AG.LND.FRST.ZS","Surface forestière (% du territoire)","Les régions boisées sont des terres naturelles ou plantées abritant des arbres d’au moins 5 mètres in situ, qu’elles soient productives ou pas, et excluent les zones boisées des systèmes de production agricole (par exemple, dans les plantations fruitières et les systèmes d’agrosylviculture) et les arbres des parcs et jardins urbains.","fichiers électroniques et site Web de l’Organisation des Nations Unies pour l’alimentation et l’agriculture.",
"AG.LND.FRST.K2","Surface forestière (km carrés)","Les régions boisées sont des terres naturelles ou plantées abritant des arbres d’au moins 5 mètres in situ, qu’elles soient productives ou pas, et excluent les zones boisées des systèmes de production agricole (par exemple, dans les plantations fruitières et les systèmes d’agrosylviculture) et les arbres des parcs et jardins urbains.","fichiers électroniques et site Web de l’Organisation des Nations Unies pour l’alimentation et l’agriculture.",
"AG.LND.EL5M.ZS","Superficie des terres dont l’altitude est inférieure à 5 mètres (en % de la superficie totale des terres)","La superficie des terres dont l’altitude est inférieure à 5 mètres correspond au pourcentage de terres totales situées à une altitude de 5 mètres maximum.","Consortium du réseau international d'information sur les sciences de la Terre (CIESIN), série de données Place II.",
"AG.LND.EL5M.UR.ZS","Zones urbaines dont l’altitude est < à 5 m (% de la superficie totale)","Urban land area below 5m is the percentage of total land where the urban land elevation is 5 meters or less.","Organisation des Nations Unies pour l’alimentation et l’agriculture.",
